caption,country,dimensions,full_name,image_url,likes,location,tagged_account,timestamp,user
"Flashback to 2018 when I got to make this giant custom weaving for the @lululemon store in my city!⁣
⁣
Happy International Women's Day! I'm thankful for all the women who have gone before me to fight for women's rights. ⁣
⁣
I'm equally thankful for all the female entrepreneurs who have shown me what's possible. In particular, while I will still working for other people full time, @jennakutcher and @cathy.heller were in my ears thanks to their podcasts on a daily bases, constantly providing inspiration and straight up proof that I can create the business and life of my dreams. AND SO CAN YOU!⁣
⁣
⁣
⁣
⁣
⁣
#weaving #woven #wallhanging #wovenwallhanging #wallart #handwoven #handmade #craft #homedecor #fiberart #fiberartist #artforthehome #creativehappylife #albertaartist #craftsposure #makersmovement #madeinalberta #creatives #creativebusiness #calledtobecreative #creativity #etsymaker #artisanmade  #handmademovement #supporthandmade  #makersgonnamake #madebyhand #lululemon #internationalwomensday⁣",,"{'height': 1350, 'width': 1080}",Learn To Weave | Jenell Flynn,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/158236302_446582269915149_8116775837729158734_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=wasbAVIfS1AAX91Ks0k&oh=3eea5206360564a8ad89339be0d1737e&oe=6072E9E8,1221,,[],2021-03-09 01:41:01,spruceandlinen
"This was me after waiting for my clothes to dry cause I was playing catch with the dogs and threw the water too far into the ocean that my husband made me go in and grab it 🌊🥴😂

Wearing:
Shirt: @welaapparel
Shorts: @lululemon
Shoes: @laneeight",US,"{'height': 1248, 'width': 1080}",Joy Sun,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/157117567_427943545128656_6856493969914986688_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=ng1zlYFuqg0AX9pprC2&oh=a11200975a4b492c0cbeb47d0b8cf254&oe=6072DAEF,1450,"{'street_address': '', 'zip_code': '96792', 'city_name': 'Waianae, Hawaii', 'region_name': '', 'country_code': 'US', 'exact_city_match': False, 'exact_region_match': False, 'exact_country_match': False}","['lululemon', 'laneeight', 'welaapparel']",2021-03-07 14:51:25,liftwithjoy
"here’s to all the women of strength, both mental and physical, that inspire me each and everyday ❤️#internationalwomensday 
•
•
•
•
•
•
•
•
•
•
•
•
•
📸 @jorgeq 
#strong #women #bettertogether #strongbodystrongmind #girlpower #fitness #gymshark #lululemon #liftweights",,"{'height': 800, 'width': 640}",Katrina Brewer,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158779270_167056335230858_2300333368319242307_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=l72hM5L5JLUAX_2GDGO&oh=8cc538a0c519420741b262baba7b63be&oe=60727186,122,,"['gymshark', 'lululemon', 'jorgeq']",2021-03-08 18:05:49,trinabeans28
happy Monday from me & all the kale stuck in my teeth after drinking this smoothie lol 🙃💚🥬 are you team fruity or green smoothie? / outfit linked in my bio @liketoknow.it http://liketk.it/3a43C,,"{'height': 1350, 'width': 1080}",BRE SHEPPARD,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/158864027_4080538531997251_5394642104947183201_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=nRBRKz2rBscAX8hH_2S&oh=2a365a146f6f8f60214341b4a6180959&oe=60719769,29781,,"['freepeople', 'liketoknow.it', 'lululemon', 'kith', 'boycott_boringnails']",2021-03-08 22:21:58,bresheppard
"s o  e x c i t e d 🎉

to welcome our @navina_yoga family back in studio this friday! with integrity, we’ve taken our time with this to ensure everyone is safe + supported as they return to in studio classes 🤍

i am honoured to be leading the first class back in the flesh this friday at 9:15 am, and i hope you will join me for pilates as it will be a  c e l e b r a t i o n  to say the least 💃🏼

be sure to check out navina’s latest post for some important information regarding our re-opening policies, and a gentle reminder to please pre-register for classes as drop ins are not allowed at this time.",CA,"{'height': 617, 'width': 1080}",Sarah Dawne 🌻,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/158197228_104578544949273_913007317661626747_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=ri9ZmKznqo0AX_lrhFK&oh=c0a484e4839912a92943ed0dfdcd9c8d&oe=60709A65,186,"{'street_address': '#211, 316 Windermere Road NW', 'zip_code': 'T6W 2Z8', 'city_name': 'Edmonton, Alberta', 'region_name': '', 'country_code': 'CA', 'exact_city_match': False, 'exact_region_match': False, 'exact_country_match': False}","['lululemon', 'yegfitness', 'navina_yoga', 'yegyoga']",2021-03-09 09:42:54,sarahdawneyoga
"Don’t be on your deathbed someday, having squandered your one chance at life, full of regret because you pursued little distractions instead of big dreams. ⁣
⁣
⁣
⁣
⁣
#lifestyle #fitnessmotivation #fitness #fitfam #fitspo #instadaily #instagood #instamood #nike #healthylifestyle #healthyliving #healthiswealth #goalchasing #challengeyourself #gymmotivation #gymlife #bombshell #bombshellsportswear #lululemon #fitnessjourney #athlete #athletic ⁣⁣⁣⁣⁣⁣",,"{'height': 937, 'width': 750}",CJ | ✨,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158405116_201025425132259_5120664304324066946_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=HOx2P93oI_IAX8gHEEq&oh=812879392835d634f3b6cd10521e70dc&oe=604AFD8E,5758,,['lululemon'],2021-03-09 15:28:41,ronnocojcfitz
"Women have been trained to speak softly and carry a lipstick...Those days are over. ✖️👊🏼 We have changed the world and we will continue to change the world... because we are women. Happy #InternationalWomensDay to ALL of my women out there. You, me, us, together. #IWD #IWD2021",US,"{'height': 1350, 'width': 1080}",ＫＥＬＳＥＹ,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/157811371_2723020021345246_6976764570807937649_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=JpjfpVeAR-4AX9OR9o0&oh=82dc4538c8c2bd81bd38b06b140e9a22&oe=6071A21D,175,"{'street_address': '310 Mt Tabor rd', 'zip_code': '47150', 'city_name': 'New Albany, Indiana', 'region_name': '', 'country_code': 'US', 'exact_city_match': False, 'exact_region_match': False, 'exact_country_match': False}",[],2021-03-08 18:44:48,ruddellkr
"It’s international women’s day and in Russian culture, this is a HUGE holiday! This is something I’ve been celebrating since I was a kid and was really surprised that it’s only been recently implemented worldwide like this! In Russia, women get the day off and we receive flowers from family, friends, and loved ones. It’s a day we celebrate each other! Growing up, I remember waking up and enjoying some sort of cake or Russian pancakes with the table covered in beautiful bouquets of flowers. 

It’s a beautiful day and I’m glad it’s become as big as it has been!

I’ve always been taught to be a tough female. I look to my mom A LOT and the older I become, the more I’m like her. I stand up for myself, I don’t take shit from ANYONE, I respect myself, and most importantly, I’m independent.

I don’t rely on anyone. I’ve worked for everything I have. My parents are hard workers but since I’ve been young, they’ve always taught me to go and get the shit I want. And that’s exactly what I’m doing. I get down on myself a ton, but I’m EXACTLY where I want to be.

I’m glad to say that I’m confident, independent, and know how to stand up for myself. These are all SUCH important traits for us women to have! Listen to some Cardi B and freaking KNOW YOUR WORTH.

Respect yourself. Respect your body. Respect OTHERS.

Let’s bring each other up. Let’s stop putting other women down. I mean come on! It’s 2021. We are suchhhh badasses and we need to empower each other. Celebrate success and let’s work on encouraging ourselves to be the best versions of ourselves!",,"{'height': 1260, 'width': 1080}",Nicole | Fitness & Inspo✨,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/158596785_259608892301177_1557831028244950387_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=h-otVEHzeTAAX-PNc3a&oh=47a94f03af53db25c8ac7d7b86d18d47&oe=60707CF1,3589,,"['tilyoucollapse', 'merrell']",2021-03-08 12:00:40,nkayfit
"Just a random selfie in my new favorite knitted beanie♥️
•
We only have a few left, go snag one!
•
•
#beanieweather #haventselfiedinforever",US,"{'height': 1350, 'width': 1080}",Kaitlyn Elizabeth,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/158427589_760676931258726_2968484428352637338_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=qMC8Z-bOsxwAX8Tv19K&oh=a080bf43f62a7dae843001b766885d77&oe=6073FCE4,254,"{'street_address': '', 'zip_code': '84015', 'city_name': 'West Point, Utah', 'region_name': '', 'country_code': 'US', 'exact_city_match': True, 'exact_region_match': False, 'exact_country_match': False}","['adidas', 'neverdefeatedco']",2021-03-09 18:16:32,kaitinthemtns
"Double zipper Large bag all in black leather. One zipper dedicated to a laptop and its accessories which is very handy. Classic black bag very chic. Wear it all day long carrying all what you need. 
Perfect bag. Very stylish!  It is 75$ plus shipping. Again if you are so serious to buy please send me an email.  #lululemon #sporty #sportyfashion #sell #casualstyle #casualoutfits #casualfashion #casualbags",US,"{'height': 1080, 'width': 1080}",Nerio,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/158468663_477198006973552_3233943265352052269_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=jQD0zN4RXhAAX-sxxCi&oh=9d0477a811b0226bb9cbcf7e4be307c2&oe=6073B251,12,"{'street_address': '', 'zip_code': '', 'city_name': 'Houston, Texas', 'region_name': '', 'country_code': 'US', 'exact_city_match': True, 'exact_region_match': False, 'exact_country_match': False}",[],2021-03-09 22:02:02,neriorocks
